Protein ID,Accession,Avg. Mass,Description,0 hr Protein Abundance,0.5 hr Protein Abundance,1 hr Protein Abundance,2 hr Protein Abundance,3 hr Protein Abundance,4 hr Protein Abundance,5 hr Protein Abundance,6 hr Protein Abundance,9 hr Protein Abundance,12 hr Protein Abundance,24 hr Protein Abundance,Cellular processes,Protein functions,Reactome pathways
26,P26039|TLN1_MOUSE,269819,Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=2,1752600000,2531600000,2478000000,2255400000,2485300000,2449800000,2428100000,23288000000,2512400000,2631900000,2175000000,"['cell adhesion', 'cell-substrate junction assembly', 'cortical actin cytoskeleton organization', 'cytoskeletal anchoring at plasma membrane', 'integrin activation', 'integrin-mediated signaling pathway']","['actin filament binding', 'integrin binding', 'LIM domain binding', 'phosphatidylinositol binding', 'phosphatidylserine binding', 'protein-containing complex binding', 'structural constituent of cytoskeleton', 'vinculin binding']","['Platelet degranulation', 'Integrin alphaIIb beta3 signaling', 'GRB2:SOS provides linkage to MAPK signaling for Integrins', 'p130Cas linkage to MAPK signaling for integrins', 'SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion', 'Smooth Muscle Contraction', 'MAP2K and MAPK activation']"
133,Q8VDD5|MYH9_MOUSE,226370,Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4,2804400000,3765300000,3920900000,3209400000,3883300000,4060600000,4555000000,39046000000,4329200000,4580600000,3790200000,"['actin cytoskeleton reorganization', 'actin filament-based movement', 'actomyosin structure organization', 'angiogenesis', 'blood vessel endothelial cell migration', 'cell adhesion', 'cell morphogenesis involved in differentiation', 'cell-cell adhesion', 'cytokinetic process', 'establishment of meiotic spindle localization', 'establishment of T cell polarity', 'in utero embryonic development', 'meiotic spindle organization', 'membrane protein ectodomain proteolysis', 'monocyte differentiation', 'myoblast fusion', 'negative regulation of actin filament severing', 'phagocytosis, engulfment', 'platelet formation', 'positive regulation of protein processing in phagocytic vesicle', 'protein transport', 'regulation of cell shape', 'uropod organization']","['actin binding', 'actin filament binding', 'actin-dependent ATPase activity', 'ADP binding', 'ATP binding', 'ATPase activity', 'calmodulin binding', 'integrin binding', 'microfilament motor activity', 'protein domain specific binding', 'protein homodimerization activity', 'protein membrane anchor']","['Regulation of actin dynamics for phagocytic cup formation', 'RHO GTPases activate PAKs']"
165,Q9QXS1|PLEC_MOUSE,534193,Plectin OS=Mus musculus GN=Plec PE=1 SV=3,910860000,1079950000,989870000,967770000,1025600000,952200000,914450000,10960000000,991160000,1050940000,813800000,"['hemidesmosome assembly', 'intermediate filament cytoskeleton organization', 'response to nutrient', 'wound healing']","['actin binding', 'ankyrin binding', 'cytoskeletal protein binding', 'protein N-terminus binding', 'structural constituent of cytoskeleton', 'structural constituent of muscle', 'structural molecule activity']","['Assembly of collagen fibrils and other multimeric structures', 'Caspase-mediated cleavage of cytoskeletal proteins', 'Type I hemidesmosome assembly']"
184,Q8BTM8|FLNA_MOUSE,281219,Filamin-A OS=Mus musculus GN=Flna PE=1 SV=5,10201000000,12051000000,12552000000,10802000000,11861000000,12710000000,12743000000,1.24E+11,13421000000,14146000000,11760000000,"['actin crosslink formation', 'actin cytoskeleton organization', 'actin cytoskeleton reorganization', 'adenylate cyclase-inhibiting dopamine receptor signaling pathway', 'angiogenesis', 'blood vessel remodeling', 'cell-cell junction organization', 'cilium assembly', 'cytoplasmic sequestering of protein', 'early endosome to late endosome transport', 'epithelial to mesenchymal transition', 'establishment of protein localization', 'establishment of Sertoli cell barrier', 'formation of radial glial scaffolds', 'heart morphogenesis', 'mitotic spindle assembly', 'mRNA transcription by RNA polymerase II', 'negative regulation of apoptotic process', 'negative regulation of DNA-binding transcription factor activity', 'negative regulation of neuron projection development', 'negative regulation of protein catabolic process', 'negative regulation of transcription by RNA polymerase I', 'positive regulation of actin filament bundle assembly', 'positive regulation of I-kappaB kinase/NF-kappaB signaling', 'positive regulation of integrin-mediated signaling pathway', 'positive regulation of neural precursor cell proliferation', 'positive regulation of neuron migration', 'positive regulation of potassium ion transmembrane transport', 'positive regulation of protein import into nucleus', 'positive regulation of substrate adhesion-dependent cell spreading', 'protein localization to bicellular tight junction', 'protein localization to cell surface', 'protein localization to plasma membrane', 'protein stabilization', 'receptor clustering', 'regulation of actin filament bundle assembly', 'regulation of cell migration', 'regulation of membrane repolarization during atrial cardiac muscle cell action potential', 'regulation of membrane repolarization during cardiac muscle cell action potential', 'semaphorin-plexin signaling pathway', 'synapse organization', 'wound healing, spreading of cells']","['actin binding', 'actin filament binding', 'Fc-gamma receptor I complex binding', 'G protein-coupled receptor binding', 'GTPase binding', 'ion channel binding', 'kinase binding', 'mu-type opioid receptor binding', 'potassium channel regulator activity', 'protein homodimerization activity', 'protein kinase C binding', 'protein-containing complex binding', 'Rac GTPase binding', 'Ral GTPase binding', 'Rho GTPase binding', 'SMAD binding', 'small GTPase binding', 'transcription factor binding']","['Platelet degranulation', 'GP1b-IX-V activation signalling', 'Cell-extracellular matrix interactions', 'RHO GTPases activate PAKs']"
80,#CONTAM#CON_ALBU_BOVIN|,69294,sp|#CONTAM#CON_ALBU_BOVIN|,4024500000,16199000000,16846000000,6500000000,13262000000,10074000000,9406000000,1.25E+11,10789000000,10446000000,6272000000,,,
1,P20152|VIME_MOUSE,53688,Vimentin OS=Mus musculus GN=Vim PE=1 SV=3,10940500000,13138200000,13452600000,10606000000,11143500000,11555100000,12615400000,1.38E+11,13669700000,15041200000,11120500000,"['astrocyte development', 'Bergmann glial cell differentiation', 'cellular response to interferon-gamma', 'cellular response to lipopolysaccharide', 'cellular response to muramyl dipeptide', 'intermediate filament organization', 'intermediate filament-based process', 'lens fiber cell development', 'negative regulation of neuron projection development', 'positive regulation of collagen biosynthetic process', 'positive regulation of gene expression', 'positive regulation of glial cell proliferation', 'positive regulation of translation', 'regulation of axonogenesis', 'regulation of mRNA stability', 'regulation of Schwann cell migration', 'SMAD protein signal transduction']","['double-stranded RNA binding', 'identical protein binding', 'keratin filament binding', 'kinase binding', 'protein C-terminus binding', 'protein domain specific binding', 'protein kinase binding', 'protein phosphatase 2A binding', 'scaffold protein binding', 'structural constituent of cytoskeleton', 'structural constituent of eye lens', 'structural molecule activity']","['Caspase-mediated cleavage of cytoskeletal proteins', 'Striated Muscle Contraction']"
298,Q9JHU4|DYHC1_MOUSE,532050,Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2,1808900000,2296600000,2365100000,1907900000,2125100000,2195200000,2034000000,23609000000,2033100000,2237800000,1668300000,"['cell division', 'cilium movement', 'cytoplasmic microtubule organization', 'cytoplasmic mRNA processing body assembly', 'establishment of spindle localization', 'microtubule-based movement', 'minus-end-directed vesicle transport along microtubule', 'positive regulation of cold-induced thermogenesis', 'positive regulation of intracellular transport', 'positive regulation of spindle assembly', 'regulation of metaphase plate congression', 'regulation of mitotic spindle organization', 'stress granule assembly']","['ATP binding', 'ATP-dependent microtubule motor activity, minus-end-directed', 'dynein intermediate chain binding', 'dynein light chain binding', 'dynein light intermediate chain binding']","['Amplification of signal from unattached kinetochores via a MAD2 inhibitory signal', 'MHC class II antigen presentation', 'Separation of Sister Chromatids', 'Resolution of Sister Chromatid Cohesion', 'Regulation of PLK1 Activity at G2/M Transition', 'HSP90 chaperone cycle for steroid hormone receptors (SHR)', 'Loss of Nlp from mitotic centrosomes', 'Recruitment of mitotic centrosome proteins and complexes', 'Loss of proteins required for interphase microtubule organization from the centrosome', 'Recruitment of NuMA to mitotic centrosomes', 'Anchoring of the basal body to the plasma membrane', 'RHO GTPases Activate Formins', 'Neutrophil degranulation', 'COPI-mediated anterograde transport', 'COPI-independent Golgi-to-ER retrograde traffic', 'Mitotic Prometaphase', 'AURKA Activation by TPX2']"
2,P17182|ENOA_MOUSE,47141,Alpha-enolase OS=Mus musculus GN=Eno1 PE=1 SV=3,6402200000,7692360000,6268950000,5207310000,7307960000,7471640000,8235510000,75871800000,8510710000,10032800000,6551280000,"['cellular response to interleukin-7', 'glycolytic process', 'in utero embryonic development', 'positive regulation of binding']","['DNA-binding transcription repressor activity, RNA polymerase II-specific', 'enzyme binding', 'GTPase binding', 'heat shock protein binding', 'magnesium ion binding', 'phosphopyruvate hydratase activity', 'protein heterodimerization activity', 'protein homodimerization activity', 'RNA binding', 'RNA polymerase II regulatory region sequence-specific DNA binding']",['Gluconeogenesis']
8,P40142|TKT_MOUSE,67631,Transketolase OS=Mus musculus GN=Tkt PE=1 SV=1,6356200000,7378300000,7183600000,6495800000,6728700000,7605500000,7281600000,79820000000,7937600000,8484600000,6633900000,"['glyceraldehyde-3-phosphate biosynthetic process', 'pentose-phosphate shunt', 'pentose-phosphate shunt, non-oxidative branch', 'regulation of growth', 'ribose phosphate biosynthetic process']","['carbohydrate binding', 'cofactor binding', 'magnesium ion binding', 'monosaccharide binding', 'protein homodimerization activity', 'thiamine pyrophosphate binding', 'transketolase activity']",['Pentose phosphate pathway']
201,Q99PL5|RRBP1_MOUSE,172878,Ribosome-binding protein 1 OS=Mus musculus GN=Rrbp1 PE=1 SV=2,1930900000,2764400000,2876300000,2103200000,2526000000,2626900000,3082500000,27220000000,3040900000,3360500000,2909800000,"['protein transport', 'signal transduction']",[],[]
